ParticipantID,Trial,SaccadeNo,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeUsed,Order,Task,StartTime
goblin1,1,1,450,38,4.14,480.4,904.1,680.4,335.91,187.21,FALSE,RIGHT,7.13,LEFT,1,Searching,NA
goblin1,1,2,832,46,7.88,681.6,1071.3,546.5,177.11,115.63,FALSE,RIGHT,4.93,LEFT,1,Searching,NA
goblin1,1,3,1184,22,11.64,550.4,1155.6,527.8,114.1,76.75,FALSE,RIGHT,1.71,LEFT,1,Searching,NA
goblin1,1,4,1418,16,14.04,526.8,1150,495,61.44,51.63,FALSE,UP,0.83,LEFT,1,Searching,NA
goblin1,1,5,1864,46,18.2,481.8,1532.8,466.5,248.17,165.79,FALSE,RIGHT,7.65,LEFT,1,Searching,NA
goblin1,1,6,2140,12,21.3,480.1,1551.2,501.8,53.7,46.47,FALSE,DOWN,0.59,LEFT,1,Searching,NA
goblin1,1,7,2382,16,23.68,504.8,1498.7,488.2,86.71,66.12,FALSE,LEFT,1.12,LEFT,1,Searching,NA
goblin1,1,8,2586,50,25.38,484,1469.3,156.7,233.33,166.58,FALSE,UP,8.33,LEFT,1,Searching,NA
goblin1,1,9,2840,16,28.26,173.6,1468.8,136,75.86,57.97,FALSE,UP,1,LEFT,1,Searching,NA
goblin1,1,10,3170,54,31.18,138.8,840.2,116.9,386.73,247.57,FALSE,LEFT,13.25,LEFT,1,Searching,NA
goblin1,1,11,3652,52,36.02,126.8,258.1,365.1,412.29,269.00,FALSE,LEFT,13.84,LEFT,1,Searching,NA
goblin1,1,12,3878,28,38.52,373.3,189,488.7,196.91,118.69,FALSE,DOWN,3.21,LEFT,1,Searching,NA
goblin1,1,13,4152,26,41.28,511.6,340.5,487.9,177.02,114.26,FALSE,RIGHT,3,LEFT,1,Searching,NA
goblin1,1,14,4376,26,43.52,493,210.4,499.6,176.33,110.41,FALSE,LEFT,2.94,LEFT,1,Searching,NA
goblin1,1,15,4790,20,47.72,502,148.8,503.5,89.02,62.39,FALSE,LEFT,1.32,LEFT,1,Searching,NA
goblin1,1,16,5400,34,53.68,510.1,217.9,663.5,190.57,119.35,FALSE,DOWN,4,LEFT,1,Searching,NA
goblin1,1,17,5590,10,55.82,675.1,225.1,691.4,45.58,41.71,FALSE,.,0.4,LEFT,1,Searching,NA
goblin1,1,18,6094,38,60.58,706.1,232.7,951.1,259.85,148.37,FALSE,DOWN,5.66,LEFT,1,Searching,NA
goblin1,1,19,6324,26,63,952.5,97.3,972.6,147.78,98.25,FALSE,LEFT,2.62,LEFT,1,Searching,NA
goblin1,1,20,6896,24,68.74,974.9,233.9,1021.2,149.49,107.29,FALSE,RIGHT,2.59,LEFT,1,Searching,NA
goblin1,1,21,7228,10,72.2,1027.6,221.2,1034.4,44.25,38.74,FALSE,.,0.43,LEFT,1,Searching,NA
goblin1,1,22,8070,52,80.2,1026.6,672,1026.5,221.82,160.32,FALSE,RIGHT,8.37,LEFT,1,Searching,NA
goblin1,1,23,8370,50,83.22,1043.1,1181.2,1035.5,283.61,191.26,FALSE,RIGHT,9.56,LEFT,1,Searching,NA
goblin1,1,24,8882,44,88.4,1051.5,1539.6,1042.9,234.53,152.12,FALSE,RIGHT,6.69,LEFT,1,Searching,NA
goblin1,1,25,9094,14,90.82,1043.5,1492.1,1043.5,70.75,54.44,FALSE,LEFT,0.85,LEFT,1,Searching,NA
goblin1,1,26,9346,42,93.06,1041.6,1521.5,825,164.71,115.36,FALSE,UP,4.84,LEFT,1,Searching,NA
goblin1,1,27,9600,38,95.64,819.3,1499.8,1066,257.11,146.85,FALSE,DOWN,5.51,LEFT,1,Searching,NA
goblin1,1,28,9834,46,97.9,1065,1475.7,728.3,267.56,165.16,FALSE,UP,7.6,LEFT,1,Searching,NA
goblin1,1,29,10058,18,100.42,751.6,1465.8,803.5,92.54,64.55,FALSE,DOWN,1.24,LEFT,1,Searching,NA
goblin1,1,30,10308,26,102.84,807.7,1577.3,802.5,117.03,76.63,FALSE,RIGHT,2.04,LEFT,1,Searching,NA
goblin1,1,31,10582,50,105.34,804.4,1014.4,867.6,335.91,218.68,FALSE,LEFT,10.96,LEFT,1,Searching,NA
goblin1,1,32,11158,26,111.34,864.1,903.5,961.3,195.58,124.55,FALSE,LEFT,3.17,LEFT,1,Searching,NA
goblin1,1,33,11460,12,114.5,987.7,953.3,984.1,56.61,47.72,FALSE,RIGHT,0.61,LEFT,1,Searching,NA
goblin1,1,34,11908,54,118.56,972.3,363.4,994.9,352.57,216.33,FALSE,LEFT,11.63,LEFT,1,Searching,NA
goblin1,1,35,12570,20,125.52,996.5,426.1,1004.7,80.33,60.20,FALSE,RIGHT,1.24,LEFT,1,Searching,NA
goblin1,1,36,12792,44,127.5,1009.3,110.8,970.7,222.54,143.48,FALSE,LEFT,6.38,LEFT,1,Searching,NA
goblin1,1,37,13130,10,131.22,986.9,93,982.5,51.24,44.87,FALSE,LEFT,0.5,LEFT,1,Searching,NA
goblin1,1,38,13560,26,135.36,972.5,240.4,1019.2,157.76,103.85,FALSE,RIGHT,2.69,LEFT,1,Searching,NA
goblin1,1,39,13928,48,138.82,1028.4,348.1,611.2,330.25,207.61,FALSE,UP,9.84,LEFT,1,Searching,NA
goblin1,1,40,14224,30,141.96,624,228.7,721.6,199.67,118.93,FALSE,LEFT,3.58,LEFT,1,Searching,NA
goblin1,1,41,14646,30,146.18,713.8,341,613.2,146.19,101.19,FALSE,UP,3.04,LEFT,1,Searching,NA
goblin1,1,42,15196,38,151.6,607.5,156.9,533.9,177.05,115.66,FALSE,LEFT,4.41,LEFT,1,Searching,NA
goblin1,1,43,15526,16,155.12,535.3,100.9,528.4,86.84,68.49,FALSE,LEFT,1.16,LEFT,1,Searching,NA
goblin1,1,44,15746,10,157.38,519.8,126.2,514.2,40.2,36.21,FALSE,.,0.37,LEFT,1,Searching,NA
goblin1,1,45,15996,60,159.38,512.7,1014.8,528.8,490.37,304.08,FALSE,RIGHT,17.95,LEFT,1,Searching,NA
goblin1,1,46,16228,26,162.04,539.3,1124,503.7,141.65,93.22,FALSE,RIGHT,2.44,LEFT,1,Searching,NA
goblin1,1,47,16440,48,163.94,508.5,588.6,521.9,392.43,238.99,FALSE,LEFT,11.46,LEFT,1,Searching,NA
goblin1,1,48,16722,50,166.74,528.6,1208,534.8,395.1,249.81,FALSE,RIGHT,12.47,LEFT,1,Searching,NA
goblin1,1,49,16952,26,169.28,538.7,1310.8,539,138.23,84.88,FALSE,RIGHT,2.26,LEFT,1,Searching,NA
goblin1,1,50,17110,20,170.92,542.3,1389.5,525,117.39,72.97,FALSE,RIGHT,1.55,LEFT,1,Searching,NA
goblin1,1,51,17292,10,172.84,532.7,1368,531.9,45.66,40.02,FALSE,.,0.43,LEFT,1,Searching,NA
goblin1,1,52,17560,8,175.54,532.3,1349,532.2,44.3,40.13,FALSE,.,0.35,LEFT,1,Searching,NA
goblin1,1,53,18308,38,182.72,520.6,1565.7,432.2,207.46,125.90,FALSE,RIGHT,4.81,LEFT,1,Searching,NA
goblin1,1,54,18900,46,188.56,424.7,1095.8,480.3,341.79,205.11,FALSE,LEFT,9.44,LEFT,1,Searching,NA
goblin1,1,55,19614,44,195.72,484.7,802,474,238.11,144.98,FALSE,LEFT,6.41,LEFT,1,Searching,NA
goblin1,1,56,19928,12,199.18,488.7,833.3,483.3,54.04,44.99,FALSE,RIGHT,0.57,LEFT,1,Searching,NA
goblin1,1,57,20208,46,201.64,483.2,359.5,476.3,335.99,214.45,FALSE,LEFT,9.85,LEFT,1,Searching,NA
goblin1,1,58,21044,22,210.24,483.5,310.1,472.7,130.25,87.91,FALSE,LEFT,1.98,LEFT,1,Searching,NA
goblin1,2,1,90,36,0.56,464.9,210,324.5,163.02,116.94,FALSE,UP,4.04,LEFT,1,Searching,NA
goblin1,2,2,352,40,3.14,303.8,581.2,308.3,341.04,196.30,FALSE,RIGHT,7.85,LEFT,1,Searching,NA
