ParticipantID,Trial,FixationNo,StartTime,EndTime,Duration,PositionX,PositionY,PupilSize,EyeUsed,Task,ActorGender,Direction,Ostensiveness
Alina,1,1,4,400,398,765.3,460.3,4197,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,2,428,636,210,795.2,453.4,4395,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,3,660,3774,3116,831.9,441.3,4480,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,4,3838,3984,148,710.1,648.7,4618,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,5,4026,4848,824,673.1,686.1,4669,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,6,4876,5012,138,808.2,660.8,4544,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,7,5066,5342,278,828.8,457.1,4609,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,8,5366,6268,904,820.2,446.3,4677,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,9,6298,6454,158,828.3,443.1,4579,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,2,1,4,226,224,835.5,386.5,4649,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,2,258,484,228,788.2,466.7,4701,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,3,518,728,212,840.7,436,4761,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,4,746,3052,2308,847.9,430.4,4364,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,5,3114,3364,252,716,675.2,4630,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,6,3390,4004,616,700.5,670.1,4562,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,7,4042,4152,112,756.3,575.4,4430,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,8,4180,4820,642,838.8,436.8,4466,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,9,4840,5894,1056,819,418.1,4618,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,10,5926,6392,468,813.2,423.7,4662,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,3,1,44,336,294,789.8,455.7,4504,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,2,372,1162,792,849.6,451,4506,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,3,1188,3726,2540,853.5,448.2,4585,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,4,3788,3886,100,703.7,713.7,4854,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,5,3910,4184,276,689.7,689.2,4883,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,6,4244,4660,418,830,474.6,4506,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,7,4688,5660,974,839.4,446.5,4574,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,8,5692,5986,296,831,452.6,4600,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,9,6020,6408,390,836.7,452.1,4619,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,4,1,4,396,394,833.7,436.3,4610,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,2,420,538,120,824.3,478.4,4691,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,3,570,968,400,853.8,444.3,4693,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,4,990,3492,2504,842.4,419.2,4735,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,5,3518,3764,248,845.3,424,4904,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,6,3828,3874,48,852.2,744.9,5023,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,7,3898,4148,252,851.1,697.1,5047,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,8,4168,4282,116,845.8,692.7,5031,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,9,4340,4728,390,850.4,434.3,4833,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,10,4736,5690,956,848,420.7,4612,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,11,5722,6092,372,846.6,414.9,4608,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,12,6118,6376,260,858.7,418.5,4604,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,5,1,4,74,72,831.7,419.6,4513,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,2,96,464,370,827.7,407.2,4661,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,3,506,670,166,868.7,456.7,4636,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,4,700,1140,442,859.2,436,4642,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,5,1170,2434,1266,870.6,439.3,4611,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,6,2494,2838,346,869.5,689.6,4688,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,7,2856,2986,132,870,709.2,4801,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,8,3052,3264,214,853.2,453.6,4747,RIGHT,Social Engagement,Female,First person,Non-ostensive
Alina,5,9,3278,4016,740,863.3,459.4,4769,RIGHT,Social Engagement,Female,First person,Non-ostensive
