ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction.x,Amplitude,EyeUsed,Task,ActorGender,Direction.y,Ostensiveness
Alina,1,1,402,426,26,765.5,454.9,785.6,454.9,76.61,44.5,false,.,0.42,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,2,638,658,22,797.9,452.6,830.4,449.2,80.86,45.48,false,RIGHT,0.69,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,3,3776,3836,62,852.3,438.1,709.8,650.5,329.88,162.13,false,DOWN,6.14,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,4,3986,4024,40,710.3,649.6,667.7,674.6,124.29,65.12,false,LEFT,1.07,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,5,4850,4874,26,669.4,692.4,814.6,659.4,220.81,116.64,false,RIGHT,3.09,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,6,5014,5064,52,806.9,665.5,829.1,475.4,267.01,115.73,false,UP,4.8,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,7,5344,5364,22,827.5,457.9,821.2,461.6,59.14,41.8,false,.,0.16,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,1,8,6270,6296,28,821.4,440.1,812.8,441.8,60.05,34.99,false,.,0.19,RIGHT,Social Engagement,Female,Third person,Ostensive
Alina,2,1,228,256,30,836.9,385.6,800.1,462,178.51,89.18,false,DOWN,2.12,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,2,486,516,32,789,464.6,827.9,442.4,123.67,57.23,false,RIGHT,1,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,3,730,744,16,844.2,434.2,841.5,422.5,39.1,26.38,false,.,0.31,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,4,3054,3112,60,840.5,427.8,716.8,683.2,506.99,184.02,false,DOWN,6.93,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,5,3366,3388,24,716.7,680.8,712.1,669.5,64.24,40.44,false,.,0.29,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,6,4006,4040,36,695.5,669.5,757.5,570.1,119.77,75.56,false,UP,2.79,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,7,4154,4178,26,756.9,569.8,829.5,444.8,244.98,133.97,false,UP,3.53,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,8,4822,4838,18,836.4,429.3,833.2,413.9,45.28,28.97,false,.,0.4,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,2,9,5896,5924,30,806.1,428.2,795.6,422,86.88,47.49,false,.,0.27,RIGHT,Social Engagement,Male,Third person,Ostensive
Alina,3,1,338,370,34,791.7,454.9,818.4,448.2,149.34,79.98,false,RIGHT,0.59,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,2,1164,1186,24,860.1,461,868.5,461.2,51.44,32.33,false,.,0.18,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,3,3728,3786,60,830.7,442.3,702.1,730.1,583.62,205.72,false,DOWN,7.68,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,4,3888,3908,22,706.1,711.7,684.9,679.1,89.57,51.01,false,UP,0.91,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,5,4186,4242,58,693,691.4,813,494.1,193.59,115.13,false,UP,5.53,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,6,4662,4686,26,835.2,465.9,828.4,454.6,71.12,50.02,false,.,0.32,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,7,5662,5690,30,837.6,443.5,841.2,450.1,60.99,42.12,false,.,0.19,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,3,8,5988,6018,32,832,455.8,824.2,453.4,99.51,55.25,false,.,0.18,RIGHT,Social Engagement,Female,Third person,Non-ostensive
Alina,4,1,398,418,22,835.7,440.3,821.2,486.4,105.1,56.56,false,DOWN,1.23,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,2,540,568,30,826.2,480.7,844.7,446.3,123.06,58.16,false,UP,0.97,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,3,970,988,20,855.4,438,849.7,425.3,49.33,32.73,false,.,0.35,RIGHT,Social Engagement,Male,First person,Ostensive
Alina,4,4,3494,3516,24,844.4,423.4,856.2,426.9,56.51,36.93,false,.,0.26,RIGHT,Social Engagement,Male,First person,Ostensive
