ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeUsed,Task
aquaman1,1,1,492,536,46,637.4,477.9,693.7,647.4,303.75,133.5,false,DOWN,4.42,LEFT,Visual Search
aquaman1,1,2,960,990,32,730.5,678.7,917.6,697,198.89,119.17,false,RIGHT,3.87,LEFT,Visual Search
aquaman1,1,3,1066,1104,40,912.7,696.2,508.3,836.1,447.29,222.25,false,LEFT,8.83,LEFT,Visual Search
aquaman1,1,4,1318,1338,22,515,844.9,409.3,847.4,150.47,93.02,false,LEFT,2.09,LEFT,Visual Search
aquaman1,1,5,1538,1570,34,427.1,841.1,145.9,871.9,281.72,162.59,false,LEFT,5.48,LEFT,Visual Search
aquaman1,1,6,1872,1892,22,149.1,884.7,102.3,962.9,138.37,89.23,false,DOWN,1.96,LEFT,Visual Search
aquaman1,1,7,2062,2096,36,102.4,956.7,117.6,767.9,213.3,118.45,false,UP,4.30,LEFT,Visual Search
aquaman1,1,8,2416,2440,26,126.1,783.1,261.3,774.6,154.25,102.35,false,RIGHT,2.62,LEFT,Visual Search
aquaman1,1,9,2638,2658,22,284.7,772.7,246.8,714.4,113.6,70.66,false,UP,1.57,LEFT,Visual Search
aquaman1,1,10,3358,3398,42,230.1,719.1,456.4,790.1,310.63,130.27,false,RIGHT,4.78,LEFT,Visual Search
aquaman1,1,11,4168,4182,16,466.7,786.4,438,758.6,67.41,51.57,false,UP,0.87,LEFT,Visual Search
aquaman1,1,12,4844,4892,50,436.8,765.5,769.7,821.3,355.73,166.44,false,RIGHT,6.81,LEFT,Visual Search
aquaman1,1,13,5218,5240,24,803.9,832.8,799.6,733.5,151.26,100.92,false,UP,2.38,LEFT,Visual Search
aquaman1,1,14,5436,5468,34,820.6,717,968.5,669.4,175.16,95.81,false,RIGHT,3.25,LEFT,Visual Search
aquaman1,1,15,5696,5740,46,951.5,669.8,992.6,831,265.42,121.3,false,DOWN,3.97,LEFT,Visual Search
aquaman1,1,16,6054,6088,36,991.2,844.9,1134,767.7,170.12,95.69,false,RIGHT,3.40,LEFT,Visual Search
aquaman1,1,17,6424,6464,42,1138.6,772.1,1525.9,852.9,364.26,187.33,false,RIGHT,7.80,LEFT,Visual Search
aquaman1,1,18,6810,6832,24,1518.6,858.9,1525.3,777.7,99.52,78.4,false,UP,1.88,LEFT,Visual Search
aquaman1,1,19,7138,7152,16,1540.1,759.4,1499.3,732.4,85.74,59.87,false,LEFT,1.01,LEFT,Visual Search
aquaman1,1,20,7498,7516,20,1512,717.1,1556,673.3,108.19,70.39,false,UP,1.35,LEFT,Visual Search
aquaman1,1,21,7808,7816,10,1568.8,641.9,1593.4,637.8,53.13,46.28,false,.,0.49,LEFT,Visual Search
aquaman1,1,22,8124,8138,16,1592.7,639.1,1598.2,589.7,90.15,71,false,UP,1.20,LEFT,Visual Search
